Thu Jul 10 23:50:00 2025    results.prof

         2014028 function calls (1980186 primitive calls) in 77.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    1.279    1.279 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/rcsetup.py:1(<module>)
        1    0.000    0.000    1.252    1.252 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/f2py/__init__.py:1(<module>)
        1    0.000    0.000    1.246    1.246 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/f2py/f2py2e.py:1(<module>)
     1051    0.089    0.000    1.231    0.001 <frozen importlib._bootstrap>:921(_find_spec)
      227    0.616    0.003    1.230    0.005 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/artist.py:1444(<listcomp>)
      978    0.022    0.000    1.180    0.001 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/__init__.py:748(__setitem__)
        1    0.002    0.002    1.176    1.176 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/numpy/f2py/crackfortran.py:1(<module>)
  128/117    0.004    0.000    1.171    0.010 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/_docstring.py:122(__call__)
      423    0.048    0.000    1.128    0.003 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:201(_read_to_next_section)
   147411    1.116    0.000    1.116    0.000 {method 'append' of 'list' objects}
      345    0.011    0.000    1.115    0.003 /usr/lib/python3.10/sre_compile.py:622(_code)
      428    0.021    0.000    1.105    0.003 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:212(_read_sections)
       30    1.089    0.036    1.089    0.036 {seamlessClone}
