Thu Jul 10 07:49:21 2025    results.prof

         4680484 function calls (4609963 primitive calls) in 79.901 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89    0.004    0.000    2.333    0.026 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/multipledispatch/dispatcher.py:178(add)
       89    0.002    0.000    2.321    0.026 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/multipledispatch/dispatcher.py:222(reorder)
       68    0.002    0.000    2.317    0.034 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:579(__init__)
      132    0.009    0.000    2.297    0.017 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_distn_infrastructure.py:821(_construct_doc)
        1    0.000    0.000    2.247    2.247 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/functional.py:1(<module>)
     3813    0.398    0.000    2.247    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    2.238    2.238 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/backend_bases.py:1(<module>)
3180/3169    0.112    0.000    2.175    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    2.172    2.172 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/text.py:1(<module>)
        1    0.000    0.000    2.169    2.169 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/nn/__init__.py:1(<module>)
      596    0.008    0.000    2.152    0.004 /usr/lib/python3.10/dataclasses.py:1156(dataclass)
2100/1379    0.030    0.000    2.134    0.002 /usr/lib/python3.10/typing.py:401(__getitem__)
       11    0.001    0.000    2.091    0.190 Cut-and-Paste/dataset_generator.py:187(PIL2array1C)
190552/190450    1.381    0.000    2.081    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    2.025    2.025 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_functorch/partitioners.py:1(<module>)
        1    0.000    0.000    2.007    2.007 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/axes/_axes.py:1(<module>)
       72    0.003    0.000    2.000    0.028 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:140(__init__)
     1338    0.091    0.000    1.923    0.001 /usr/lib/python3.10/typing.py:483(Union)
        1    0.000    0.000    1.906    1.906 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/nn/modules/__init__.py:1(<module>)
     2896    0.369    0.000    1.861    0.001 /usr/lib/python3.10/inspect.py:2280(_signature_from_function)
        1    0.000    0.000    1.850    1.850 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/torch/_functorch/_activation_checkpointing/graph_info_provider.py:1(<module>)
        1    0.001    0.001    1.842    1.842 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/networkx/__init__.py:1(<module>)
        1    0.000    0.000    1.811    1.811 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/matplotlib/collections.py:1(<module>)
     2071    0.188    0.000    1.799    0.001 /usr/lib/python3.10/typing.py:1016(__init__)
     2507    0.074    0.000    1.773    0.001 /usr/lib/python3.10/inspect.py:838(getabsfile)
   252204    1.708    0.000    1.708    0.000 {method 'append' of 'list' objects}
       54    0.009    0.000    1.682    0.031 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/stats/_axis_nan_policy.py:425(axis_nan_policy_decorator)
        1    0.000    0.000    1.652    1.652 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/polys/polyfuncs.py:1(<module>)
        1    0.000    0.000    1.649    1.649 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/polys/specialpolys.py:1(<module>)
       72    0.021    0.000    1.638    0.023 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/scipy/_lib/_docscrape.py:388(_parse)
    18346    0.665    0.000    1.630    0.000 /usr/lib/python3.10/tokenize.py:431(_tokenize)
        1    0.000    0.000    1.622    1.622 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/geometry/__init__.py:1(<module>)
        1    0.000    0.000    1.604    1.604 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/polys/rings.py:1(<module>)
        1    0.000    0.000    1.590    1.590 /home/vikhyat/RIPS25-AnalogDevices-ObjectDetection/env/lib/python3.10/site-packages/sympy/printing/__init__.py:1(<module>)
