epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,89.6537,0.87136,1.78246,1.15676,0.35751,0.24712,0.21625,0.14578,1.37025,2.84315,1.3998,0.000597718,0.000597718,0.000597718
142,90.2842,0.68694,1.59138,1.14994,0.36788,0.24909,0.21471,0.14598,1.37397,2.84315,1.40225,0.000594052,0.000594052,0.000594052
143,90.8814,0.7671,1.69858,1.11616,0.36788,0.24909,0.21471,0.14598,1.37397,2.84315,1.40225,0.000590385,0.000590385,0.000590385
144,91.4984,0.74963,1.65449,1.17402,0.37305,0.2597,0.20935,0.14668,1.37908,2.85173,1.40043,0.000586719,0.000586719,0.000586719
145,92.0772,0.70118,1.52646,1.09049,0.37305,0.2597,0.20935,0.14668,1.37908,2.85173,1.40043,0.000583053,0.000583053,0.000583053
146,92.6899,0.843,1.91593,1.205,0.35718,0.27095,0.20641,0.14374,1.37637,2.85056,1.40448,0.000579386,0.000579386,0.000579386
147,93.2795,0.74225,1.58881,1.11389,0.35718,0.27095,0.20641,0.14374,1.37637,2.85056,1.40448,0.00057572,0.00057572,0.00057572
148,93.9016,0.78238,1.55783,1.14558,0.35856,0.27045,0.21603,0.14616,1.363,2.85244,1.39661,0.000572054,0.000572054,0.000572054
149,94.5002,0.79533,1.62284,1.13745,0.35856,0.27045,0.21603,0.14616,1.363,2.85244,1.39661,0.000568388,0.000568388,0.000568388
150,95.2598,0.71428,1.48571,1.10021,0.35361,0.26792,0.22136,0.14594,1.34833,2.86026,1.39146,0.000564721,0.000564721,0.000564721
151,95.8385,0.89227,1.58611,1.15925,0.35361,0.26792,0.22136,0.14594,1.34833,2.86026,1.39146,0.000561055,0.000561055,0.000561055
152,96.454,0.78859,1.65189,1.21036,0.33773,0.27143,0.21572,0.13946,1.33024,2.86447,1.3746,0.000557389,0.000557389,0.000557389
153,97.0931,0.77551,1.6295,1.15221,0.33773,0.27143,0.21572,0.13946,1.33024,2.86447,1.3746,0.000553722,0.000553722,0.000553722
154,97.6612,0.71593,1.48439,1.11714,0.28213,0.28001,0.20018,0.13781,1.31885,2.86652,1.36397,0.000550056,0.000550056,0.000550056
155,98.2543,0.73104,1.60093,1.17178,0.28213,0.28001,0.20018,0.13781,1.31885,2.86652,1.36397,0.00054639,0.00054639,0.00054639
156,98.8764,0.74896,1.54036,1.13733,0.27001,0.28397,0.19547,0.13484,1.30624,2.87184,1.35031,0.000542723,0.000542723,0.000542723
157,99.4707,0.77067,1.54253,1.15668,0.27001,0.28397,0.19547,0.13484,1.30624,2.87184,1.35031,0.000539057,0.000539057,0.000539057
158,100.07,0.73017,1.62941,1.14846,0.28529,0.29233,0.19644,0.13517,1.28786,2.86328,1.33965,0.000535391,0.000535391,0.000535391
159,100.647,0.81067,1.69241,1.22753,0.28529,0.29233,0.19644,0.13517,1.28786,2.86328,1.33965,0.000531725,0.000531725,0.000531725
160,101.391,0.73952,1.60409,1.13408,0.27258,0.29233,0.20356,0.13672,1.2803,2.86691,1.33652,0.000528058,0.000528058,0.000528058
161,101.987,0.73357,1.46854,1.1268,0.27258,0.29233,0.20356,0.13672,1.2803,2.86691,1.33652,0.000524392,0.000524392,0.000524392
162,102.608,0.88842,1.71942,1.23513,0.31316,0.26716,0.19539,0.13347,1.27114,2.85712,1.33508,0.000520726,0.000520726,0.000520726
163,103.193,0.82178,1.59197,1.19109,0.31316,0.26716,0.19539,0.13347,1.27114,2.85712,1.33508,0.000517059,0.000517059,0.000517059
164,103.808,0.784,1.655,1.1842,0.32429,0.26414,0.19231,0.13069,1.28246,2.85925,1.33871,0.000513393,0.000513393,0.000513393
165,104.408,0.79194,1.49475,1.15319,0.32429,0.26414,0.19231,0.13069,1.28246,2.85925,1.33871,0.000509727,0.000509727,0.000509727
166,104.998,0.81062,1.49281,1.135,0.31995,0.25529,0.19428,0.13195,1.28608,2.85549,1.33863,0.00050606,0.00050606,0.00050606
167,105.58,0.72681,1.35965,1.05288,0.31995,0.25529,0.19428,0.13195,1.28608,2.85549,1.33863,0.000502394,0.000502394,0.000502394
168,106.355,0.72881,1.51722,1.11105,0.38677,0.25223,0.20183,0.1323,1.29285,2.85308,1.3437,0.000498728,0.000498728,0.000498728
169,106.964,0.81973,1.61569,1.1711,0.38677,0.25223,0.20183,0.1323,1.29285,2.85308,1.3437,0.000495062,0.000495062,0.000495062
170,107.598,0.76562,1.62165,1.14305,0.37905,0.25231,0.1908,0.12789,1.30114,2.86648,1.35079,0.000491395,0.000491395,0.000491395
171,108.172,0.68094,1.4074,1.14488,0.37905,0.25231,0.1908,0.12789,1.30114,2.86648,1.35079,0.000487729,0.000487729,0.000487729
172,108.786,0.76794,1.66282,1.2207,0.37398,0.23566,0.18617,0.13067,1.30309,2.87305,1.36053,0.000484063,0.000484063,0.000484063
173,109.412,0.74703,1.65989,1.13851,0.37398,0.23566,0.18617,0.13067,1.30309,2.87305,1.36053,0.000480396,0.000480396,0.000480396
174,110.035,0.6878,1.45769,1.06616,0.37746,0.23629,0.19161,0.13313,1.29974,2.87054,1.36144,0.00047673,0.00047673,0.00047673
175,110.653,0.59761,1.33239,1.05497,0.37746,0.23629,0.19161,0.13313,1.29974,2.87054,1.36144,0.000473064,0.000473064,0.000473064
176,111.314,0.76377,1.49365,1.11722,0.40014,0.23622,0.1966,0.13504,1.30178,2.86471,1.35735,0.000469397,0.000469397,0.000469397
177,112.054,0.73055,1.42611,1.18939,0.40014,0.23622,0.1966,0.13504,1.30178,2.86471,1.35735,0.000465731,0.000465731,0.000465731
178,112.691,0.75284,1.51271,1.20224,0.41038,0.23532,0.19801,0.13544,1.29791,2.85482,1.356,0.000462065,0.000462065,0.000462065
179,113.285,0.71451,1.55731,1.16784,0.41038,0.23532,0.19801,0.13544,1.29791,2.85482,1.356,0.000458399,0.000458399,0.000458399
